,urls,attraction
82,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d6960656-Reviews-Mario_outlet-Seoul.html#REVIEWS,Mario_outlet-Seoul
83,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d7891991-Reviews-Digital_Pavilion-Seoul.html#REVIEWS,Digital_Pavilion-Seoul
84,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1579821-Reviews-Statue_of_Sejong_the_Great-Seoul.html#REVIEWS,Statue_of_Sejong_the_Great-Seoul
85,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d6847900-Reviews-Gwanghwamun_Square-Seoul.html#REVIEWS,Gwanghwamun_Square-Seoul
86,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d2341867-Reviews-Sejong_Center-Seoul.html#REVIEWS,Sejong_Center-Seoul
87,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d592507-Reviews-King_Sejong_Memorial_Hall-Seoul.html#REVIEWS,King_Sejong_Memorial_Hall-Seoul
88,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1604009-Reviews-Garosu_gil-Seoul.html#REVIEWS,Garosu_gil-Seoul
89,https://www.tripadvisor.co.kr/Attraction_Review-g297886-d2099339-Reviews-Seomun_Market-Daegu.html#REVIEWS,Seomun_Market-Daegu
90,https://www.tripadvisor.co.kr/Attraction_Review-g297886-d1730326-Reviews-Daegu_Metro-Daegu.html#REVIEWS,Daegu_Metro-Daegu
91,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d8121656-Reviews-Busan_Metro-Busan.html#REVIEWS,Busan_Metro-Busan
92,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d8118524-Reviews-Busan_Station_Plaza-Busan.html#REVIEWS,Busan_Station_Plaza-Busan
93,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d2168903-Reviews-Busan_Port-Busan.html#REVIEWS,Busan_Port-Busan
94,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d1372972-Reviews-Jagalchi_Market-Busan.html#REVIEWS,Jagalchi_Market-Busan
95,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d1632406-Reviews-Yongdusan_Park-Busan.html#REVIEWS,Yongdusan_Park-Busan
96,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3670803-Reviews-Museum_of_Art_Seoul_National_University-Seoul.html#REVIEWS,Museum_of_Art_Seoul_National_University-Seoul
97,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d4427670-Reviews-Seoul_University_Hospital_Medical_Museum-Seoul.html#REVIEWS,Seoul_University_Hospital_Medical_Museum-Seoul
98,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3805397-Reviews-Gyujanggak_Library_of_Seoul_National_University-Seoul.html#REVIEWS,Gyujanggak_Library_of_Seoul_National_University-Seoul
99,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3901448-Reviews-Kyunghee_University_Seoul_Campus-Seoul.html#REVIEWS,Kyunghee_University_Seoul_Campus-Seoul
100,https://www.tripadvisor.co.kr/Attraction_Review-g1632071-d4730571-Reviews-Geumosan_Provincial_Park-Gumi_Gyeongsangbuk_do.html#REVIEWS,Geumosan_Provincial_Park-Gumi_Gyeongsangbuk_do
101,https://www.tripadvisor.co.kr/Attraction_Review-g2024820-d2478945-Reviews-Mireuksa_Temple_Site-Iksan_Jeollabuk_do.html#REVIEWS,Mireuksa_Temple_Site-Iksan_Jeollabuk_do
102,https://www.tripadvisor.co.kr/Attraction_Review-g2024820-d4094595-Reviews-Mireuksaji_National_Museum-Iksan_Jeollabuk_do.html#REVIEWS,Mireuksaji_National_Museum-Iksan_Jeollabuk_do
103,https://www.tripadvisor.co.kr/Attraction_Review-g844468-d7954545-Reviews-Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do.html#REVIEWS,Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do
104,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d554534-Reviews-Everland-Yongin_Gyeonggi_do.html#REVIEWS,Everland-Yongin_Gyeonggi_do
105,https://www.tripadvisor.co.kr/Attraction_Review-g2024866-d1868571-Reviews-Seoul_Land-Gwacheon_Gyeonggi_do.html#REVIEWS,Seoul_Land-Gwacheon_Gyeonggi_do
106,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d3164745-Reviews-Hoam_Art_Museum-Yongin_Gyeonggi_do.html#REVIEWS,Hoam_Art_Museum-Yongin_Gyeonggi_do
107,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d592495-Reviews-Coex_Aquarium-Seoul.html#REVIEWS,Coex_Aquarium-Seoul
108,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d554303-Reviews-Starfield_COEX_Mall-Seoul.html#REVIEWS,Starfield_COEX_Mall-Seoul
109,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d592486-Reviews-Bongeunsa_Temple-Seoul.html#REVIEWS,Bongeunsa_Temple-Seoul
110,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d12635586-Reviews-Starfield_Library-Seoul.html#REVIEWS,Starfield_Library-Seoul
111,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d590748-Reviews-Gwanghwamun_Gate-Seoul.html#REVIEWS,Gwanghwamun_Gate-Seoul
112,https://www.tripadvisor.co.kr/Attraction_Review-g304129-d1880980-Reviews-Mudeungsan_National_Park-Gwangju.html#REVIEWS,Mudeungsan_National_Park-Gwangju
113,https://www.tripadvisor.co.kr/Attraction_Review-g304129-d6352856-Reviews-Mudeungsan_Jeungsimsa_Temple-Gwangju.html#REVIEWS,Mudeungsan_Jeungsimsa_Temple-Gwangju
114,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d4412910-Reviews-Muuido_Island-Incheon.html#REVIEWS,Muuido_Island-Incheon
115,https://www.tripadvisor.co.kr/Attraction_Review-g2024873-d6208155-Reviews-Seongnam_Arts_Center-Seongnam_Gyeonggi_do.html#REVIEWS,Seongnam_Arts_Center-Seongnam_Gyeonggi_do
116,https://www.tripadvisor.co.kr/Attraction_Review-g612377-d1746119-Reviews-Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do.html#REVIEWS,Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do
117,https://www.tripadvisor.co.kr/Attraction_Review-g612377-d12948588-Reviews-Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do.html#REVIEWS,Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do
118,https://www.tripadvisor.co.kr/Attraction_Review-g612377-d4087334-Reviews-Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do.html#REVIEWS,Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do
119,https://www.tripadvisor.co.kr/Attraction_Review-g297887-d4095612-Reviews-Daecheongho_Natural_Ecology_Center-Daejeon.html#REVIEWS,Daecheongho_Natural_Ecology_Center-Daejeon
120,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d4094883-Reviews-Tower_Gallery-Busan.html#REVIEWS,Tower_Gallery-Busan
121,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d12932545-Reviews-Busan_Tower-Busan.html#REVIEWS,Busan_Tower-Busan
122,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d4412555-Reviews-Busan_Modern_History_Museum-Busan.html#REVIEWS,Busan_Modern_History_Museum-Busan
123,https://www.tripadvisor.co.kr/Attraction_Review-g297885-d550713-Reviews-Yongduam_Rock-Jeju_Jeju_Island.html#REVIEWS,Yongduam_Rock-Jeju_Jeju_Island
124,https://www.tripadvisor.co.kr/Attraction_Review-g1872665-d3164724-Reviews-Paju_Premium_Outlets-Paju_Gyeonggi_do.html#REVIEWS,Paju_Premium_Outlets-Paju_Gyeonggi_do
125,https://www.tripadvisor.co.kr/Attraction_Review-g1960566-d3164728-Reviews-Yeoju_Premium_Outlets-Yeoju_si_Gyeonggi_do.html#REVIEWS,Yeoju_Premium_Outlets-Yeoju_si_Gyeonggi_do
126,https://www.tripadvisor.co.kr/Attraction_Review-g678593-d7065598-Reviews-Shinjang_Shopping_Mall-Pyeongtaek_Gyeonggi_do.html#REVIEWS,Shinjang_Shopping_Mall-Pyeongtaek_Gyeonggi_do
127,https://www.tripadvisor.co.kr/Attraction_Review-g297887-d10897999-Reviews-Gyejoksan_Mountain_Red_Clay_Trail-Daejeon.html#REVIEWS,Gyejoksan_Mountain_Red_Clay_Trail-Daejeon
128,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d7987605-Reviews-Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do.html#REVIEWS,Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do
129,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d3161586-Reviews-Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do.html#REVIEWS,Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do
130,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d4427666-Reviews-Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do.html#REVIEWS,Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do
