,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attr_index,attraction,category
130,19,2.0,0.8468000292778015,"[(2, 0.8468167), (3, 0.13268122), (4, 0.019445581)]",0.8468167185783386,0.1326812207698822,0.0,0.01944558136165142,341,Seongdong_Market-Gyeongju_Gyeongsangbuk_do,19
131,1,2.0,0.8849999904632568,"[(2, 0.8849603), (3, 0.10668319)]",0.8849602937698364,0.10668318718671799,0.0,0.0,349,Myeongdong_Seocobulhanjeungmag-Seoul,1
132,4,2.0,0.8281999826431274,"[(1, 0.1639636), (2, 0.8281537)]",0.8281537294387817,0.0,0.16396360099315643,0.0,362,Yonsei_University_Sinchon_Campus-Seoul,4
133,31,4.0,0.5175999999046326,"[(3, 0.48138905), (4, 0.5176317)]",0.0,0.48138904571533203,0.0,0.5176317095756531,367,Geoje_Okpo_Battle_Memorial_Park-Geoje_Gyeongsangnam_do,31
134,31,3.0,0.6001999974250793,"[(1, 0.011699709), (2, 0.1969504), (3, 0.6002441), (4, 0.19110577)]",0.19695040583610535,0.6002441048622131,0.011699709109961987,0.19110576808452606,368,Geoje_Museum-Geoje_Gyeongsangnam_do,31
135,21,1.0,0.7419000267982483,"[(1, 0.7419227), (2, 0.25197282)]",0.25197282433509827,0.0,0.7419226765632629,0.0,371,Chodang_Sundubu_Village-Gangneung_Gangwon_do,21
136,1,2.0,0.8712000250816345,"[(1, 0.12139476), (2, 0.87119895)]",0.8711989521980286,0.0,0.12139476090669632,0.0,376,Beautiplex_Myeongdong-Seoul,1
137,21,1.0,0.8952000141143799,"[(1, 0.8952417), (4, 0.10414505)]",0.0,0.0,0.8952416777610779,0.10414505004882812,386,Jeongdongjin_Beach-Gangneung_Gangwon_do,21
138,9,1.0,0.7193999886512756,"[(1, 0.7194273), (4, 0.2802631)]",0.0,0.0,0.7194272875785828,0.28026309609413147,394,Eco_Land_Theme_Park-Jeju_Jeju_Island,9
139,9,1.0,0.6959999799728394,"[(1, 0.69604284), (2, 0.021867763), (4, 0.28153396)]",0.021867763251066208,0.0,0.6960428357124329,0.28153395652770996,395,Shinhwa_Theme_Park-Seogwipo_Jeju_Island,9
140,26,3.0,0.9965999722480774,"[(3, 0.9965739)]",0.0,0.9965739250183105,0.0,0.0,424,The_2nd_Tunnel-Cheorwon_gun_Gangwon_do,26
141,9,4.0,0.9998999834060669,"[(4, 0.9998558)]",0.0,0.0,0.0,0.9998558163642883,439,Mysterious_Road_Dokkaebi_Road-Jeju_Jeju_Island,9
142,9,4.0,0.9750999808311462,"[(1, 0.015882159), (4, 0.9751269)]",0.0,0.0,0.015882158651947975,0.9751269221305847,453,Jeju_Taxi_Tour_Best-Jeju_Jeju_Island,9
143,1,2.0,0.9997000098228455,"[(2, 0.9996761)]",0.9996761083602905,0.0,0.0,0.0,454,Namdaemun_Market-Seoul,1
