attraction,category
Jeju_Jungang_Underground_Shopping_Center-Jeju_Jeju_Island,9
Provence_Town-Paju_Gyeonggi_do,
LG_Arts_Center-Seoul,
Seokbulsa_Temple-Busan,
Namhansanseong_Provincial_Park-Gwangju_Gyeonggi_do,
Namhansanseong_Fortress-Gwangju_Gyeonggi_do,
Namhansansung_History_Museum-Gwangju_Gyeonggi_do,
Hwangsong_Park-Seongnam_Gyeonggi_do,
Vivaldi_Park_Ocean_World-Hongcheon_gun_Gangwon_do,
Ocean_700-Pyeongchang_gun_Gangwon_do,21
Bears_Town_Ski_Sled-Pocheon_Gyeonggi_do,27
Jinhae_Gunhangje_Festival-Changwon_Gyeongsangnam_do,
Jinhae_Dream_Park-Changwon_Gyeongsangnam_do,
Yeojwacheon_Stream-Changwon_Gyeongsangnam_do,
Jinhae_NFRDI_Environment_Eco_park-Changwon_Gyeongsangnam_do,
Jinhaesiripbangmulgwan-Changwon_Gyeongsangnam_do,
Panmunjom-Paju_Gyeonggi_do,26
International_Cultural_Service_Club_ICSC-Seoul,
Camp_Bonifas-Paju_Gyeonggi_do,
Lotte_Duty_Free_Main_Store-Seoul,
The_Shilla_Duty_Free_Seoul-Seoul,
Dongwha_Duty_Free-Seoul,
Ihwa_Mural_Village-Seoul,
Hongcheon_Ginkgo_Forest-Hongcheon_gun_Gangwon_do,
Alpaca_World-Hongcheon_gun_Gangwon_do,
Hongcheon_Saengmyeong_Geongang_Gwahakgwan-Hongcheon_gun_Gangwon_do,
Sutasa_Temple-Hongcheon_gun_Gangwon_do,
Noryangjin_Fisheries_Wholesale_Market-Seoul,
Bucheon_Jungang_Park-Bucheon_Gyeonggi_do,
Yongmunsa_Temple-Yangpyeong_gun_Gyeonggi_do,
Cheongpung_Cultural_Heritage_Complex-Jecheon_Chungcheongbuk_do,
Daegu_National_Museum-Daegu,
Kyungpook_National_University_Natural_History_Museum-Gunwi_gun_Gyeongsangbuk_do,
Kyungpook_National_University_Museum-Daegu,
Jukdo_Market-Pohang_Gyeongsangbuk_do,
Choong_Ang_High_School_Location_for_Winter_Sonata-Seoul,
Chinatown-Incheon,30
Incheon_Art_Platform-Incheon,30
Daejeon_Museum_of_Art-Daejeon,
Imsil_Cheese_Theme_Park-Imsil_gun_Jeollabuk_do,
Seongryugul_Cave-Uljin_gun_Gyeongsangbuk_do,
Bulyeongsa_Temple-Uljin_gun_Gyeongsangbuk_do,
Mangyangjeong_Pavilion-Uljin_gun_Gyeongsangbuk_do,
Seoul_Seokchon_dong_Ancient_Tombs-Seoul,
Baekam_Darae_Chamsut_Gama-Yongin_Gyeonggi_do,
Daeheungsa-Haenam_gun_Jeollanam_do,
Namsan_Cable_Car-Seoul,
Duryunsan_Mountain_Park-Haenam_gun_Jeollanam_do,
Seodaemun_Prison_History_Hall-Seoul,
Dongnimmun_Gate-Seoul,
Seodaemun_Museum_of_Natural_History-Seoul,
Gwanghallu_Pavilion-Namwon_Jeollabuk_do,
Namwon_Chunhyang_Festival-Namwon_Jeollabuk_do,
Chunhyang_Theme_Park-Namwon_Jeollabuk_do,
COEX_Center-Seoul,12
Paradise_Duty_Free_Shop-Busan,
Gyesan_Catholic_Church-Daegu,
MBC_WORLD-Seoul,34
