url,title
/Attraction_Review-g294197-d2341922-Reviews-Gilsangsa_Shrine-Seoul.html,Gilsangsa Shrine
/Attraction_Review-g294197-d3805639-Reviews-Korean_Postage_Stamp_Museum-Seoul.html,Korean Postage Stamp Museum
/Attraction_Review-g294197-d5971975-Reviews-KBS_On-Seoul.html,KBS On
/Attraction_Review-g294197-d592508-Reviews-Seoul_National_Cemetery-Seoul.html,Seoul National Cemetery
/Attraction_Review-g294197-d7891686-Reviews-The_Story_of_King_Sejong_The_Story_of_Admiral_Yi_Sunshin-Seoul.html,The Story of King Sejong & The Story of Admiral Yi Sunshin
/Attraction_Review-g294197-d1489411-Reviews-Seven_Luck_Casino_Gangbuk_Hilton-Seoul.html,Seven Luck Casino Gangbuk Hilton
/Attraction_Review-g294197-d2293574-Reviews-Seoul_Plaza-Seoul.html,Seoul Plaza
/Attraction_Review-g294197-d7622540-Reviews-Jeongdong_Observatory-Seoul.html,Jeongdong Observatory
/Attraction_Review-g294197-d1960138-Reviews-Culture_Station_Seoul_284-Seoul.html,Culture Station Seoul 284
/Attraction_Review-g294197-d8769919-Reviews-Seoul_City_Wall_Museum-Seoul.html,Seoul City Wall Museum
/Attraction_Review-g294197-d3694405-Reviews-Unhyeongung-Seoul.html,Unhyeongung
/Attraction_Review-g294197-d10270564-Reviews-COEX_Center-Seoul.html,COEX Center
/Attraction_Review-g294197-d1052311-Reviews-Bank_of_Korea_Museum-Seoul.html,Bank of Korea Museum
/Attraction_Review-g294197-d7264192-Reviews-Eungbongsan_Mountain-Seoul.html,Eungbongsan Mountain
/Attraction_Review-g294197-d9755552-Reviews-Shinsegae_Gangnam-Seoul.html,Shinsegae Gangnam
/Attraction_Review-g294197-d2293568-Reviews-Gyeonghuigung_Palace-Seoul.html,Gyeonghuigung Palace
/Attraction_Review-g294197-d6509932-Reviews-Naksan_Public_Art-Seoul.html,Naksan Public Art
/Attraction_Review-g294197-d12538691-Reviews-Apm_Place-Seoul.html,apm Place
/Attraction_Review-g294197-d4084386-Reviews-Bugaksan_Seoul_Fortress-Seoul.html,Bugaksan Seoul Fortress
/Attraction_Review-g294197-d8121881-Reviews-The_Galleria_Main_Store-Seoul.html,The Galleria Main Store
/Attraction_Review-g294197-d12202187-Reviews-Gyeongui_line_forest-Seoul.html,Gyeongui line forest
/Attraction_Review-g294197-d2303919-Reviews-Jeoldusan_Martyrs_Shrine-Seoul.html,Jeoldusan Martyrs' Shrine
